business_id,name,schools,open,category,subcategory,is_vegetarian,review_count,stars,neighborhoods,url,photo_url,city,state,latitude,longitude,is_popular
_QNKVyihvoeCL8873l8x8Q,Waffles de Liege,University of California - Los Angeles,yes,Food Stand,American,no,125,4,Westwood,http://www.yelp.com/biz/waffles-de-liege-los-angeles-3,http://s3-media4.ak.yelpcdn.com/bphoto/_GvQCOrtIoHwa-bt-VqMow/ms.jpg,Los Angeles,CA,34.0631451,-118.4367551,1
_QzlIe0DdxSHBJtbPvNG2A,Kim's Oriental Food,University of Pennsylvania,yes,Food Stand,AsianFusion,no,36,4,University City,http://www.yelp.com/biz/kims-oriental-food-philadelphia,http://s3-media1.ak.yelpcdn.com/bphoto/boYX8KGdHleIf1s9clvbcQ/ms.jpg,Philadelphia,PA,39.95388214,-75.19755363,0
_rKz-rQPzUAIZWlUHCKgow,McDonald's Hamburgers,Carnegie Mellon University,yes,Restaurant,American,no,2,2.5,Oakland,http://www.yelp.com/biz/mcdonalds-hamburgers-pittsburgh-9,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Pittsburgh,PA,40.4412286,-79.9572821,0
_rlU6AQD8jJJb7iCiHrRdg,Kiku Tempura House,University of Washington,yes,Restaurant,Japanese,no,82,3.5,University District,http://www.yelp.com/biz/kiku-tempura-house-seattle-2,http://s3-media4.ak.yelpcdn.com/bphoto/WpQYN7NNNizoWHvGAyW4mw/ms.jpg,Seattle,WA,47.6652542,-122.3130719,1
_RRfUE5mb3kuje0R8ASuJA,Starbucks Coffee,Brown University,yes,Cafes,Beverages,no,2,3,College Hill,http://www.yelp.com/biz/starbucks-coffee-providence-6,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Providence,RI,41.827311,-71.4009146,0
_sUFonJ7J_-a6hq3xRYwDA,Green Shell,Rensselaer Polytechnic Institute,yes,Restaurant,Chinese,no,8,3.5,Rensselaer Polytechnic Institute,http://www.yelp.com/biz/green-shell-troy,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Troy,NY,42.739482,-73.6791045,1
_UNnXpOAs0Uz5-1O4ZsJHg,Ausanda Chocolate,University of Waterloo,yes,Pattisserie,Chocolatiers,no,6,4.5,University of Waterloo,http://www.yelp.ca/biz/ausanda-chocolate-waterloo,http://s3-media4.ak.yelpcdn.com/bphoto/4OlOELRj8jtNpH7v_AWY8g/ms.jpg,Waterloo,ON,43.4770992,-80.5256905,0
_UxTQIGh45sCp_LDYfVMsg,Bistro 501,Purdue University,yes,Cafes,French,no,39,3.5,Purdue University,http://www.yelp.com/biz/bistro-501-lafayette,http://s3-media4.ak.yelpcdn.com/bphoto/3STc2ik5tM9ckHS8IpAKFQ/ms.jpg,Lafayette,IN,40.4191484,-86.8918508,0
_UyjMqhiaP1n9WC5Xt3Ngw,Koberl at Blue,California Polytechnic State University,yes,Restaurant,American,no,82,4,California Polytechnic State University,http://www.yelp.com/biz/koberl-at-blue-san-luis-obispo,http://s3-media4.ak.yelpcdn.com/bphoto/vvuHYkVfcL2iUNb31B8k7w/ms.jpg,San Luis Obispo,CA,35.2817909,-120.6613883,1
_vLyjI50m3eafiXnh87i0g,Razorback BBQ,Cornell University,yes,Restaurant,Barbeque,no,3,3.5,Cornell University,http://www.yelp.com/biz/razorback-bbq-ithaca,http://s3-media1.ak.yelpcdn.com/bphoto/_aJjHNH1FA5_45jrPkMfPw/ms.jpg,Ithaca,NY,42.451558,-76.505167,0
